Date : 2022-09-09 16:18:27
Directory : d:\0_Projects\Link
Total : 383 files,  13345 codes, 473 comments, 976 blanks, all 14794 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\goods-action\index.json               | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.d.ts                  | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.js                    | JavaScript |         54 |          0 |          1 |         55 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.json                  | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid-item\index.wxs                   | XML        |         28 |          0 |          5 |         33 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.js                         | JavaScript |         57 |          0 |          1 |         58 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.json                       | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\grid\index.wxs                        | XML        |         11 |          0 |          3 |         14 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.js                         | JavaScript |         22 |          0 |          1 |         23 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.json                       | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\icon\index.wxs                        | XML        |         32 |          0 |          8 |         40 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.js                        | JavaScript |         62 |          0 |          1 |         63 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.json                      | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\image\index.wxs                       | XML        |         28 |          0 |          5 |         33 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-anchor\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-anchor\index.js                 | JavaScript |         28 |          0 |          1 |         29 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-anchor\index.json               | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-bar\index.d.ts                  | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-bar\index.js                    | JavaScript |        243 |          0 |          1 |        244 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\index-bar\index.json                  | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\info\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\info\index.js                         | JavaScript |         10 |          0 |          1 |         11 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\info\index.json                       | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.js                      | JavaScript |         18 |          0 |          1 |         19 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.json                    | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\loading\index.wxs                     | XML        |         19 |          0 |          4 |         23 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\basic.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\basic.js                       | JavaScript |         14 |          0 |          1 |         15 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\button.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\button.js                      | JavaScript |         44 |          0 |          1 |         45 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\link.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\link.js                        | JavaScript |         27 |          0 |          1 |         28 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\page-scroll.d.ts               | TypeScript |          4 |          1 |          1 |          6 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\page-scroll.js                 | JavaScript |         41 |          1 |          1 |         43 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\touch.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\touch.js                       | JavaScript |         39 |          1 |          1 |         41 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\transition.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\mixins\transition.js                  | JavaScript |        118 |          3 |          1 |        122 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.js                      | JavaScript |         72 |          0 |          1 |         73 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.json                    | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\nav-bar\index.wxs                     | XML        |         11 |          0 |          3 |         14 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.js                   | JavaScript |        125 |          0 |          1 |        126 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.json                 | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notice-bar\index.wxs                  | XML        |         13 |          0 |          3 |         16 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.js                       | JavaScript |         68 |          0 |          1 |         69 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.json                     | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\index.wxs                      | XML        |         19 |          0 |          4 |         23 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\notify.d.ts                    | TypeScript |         20 |          0 |          1 |         21 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\notify\notify.js                      | JavaScript |         60 |          0 |          1 |         61 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\overlay\index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\overlay\index.js                      | JavaScript |         27 |          1 |          1 |         29 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\overlay\index.json                    | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\panel\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\panel\index.js                        | JavaScript |         11 |          0 |          1 |         12 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\panel\index.json                      | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker-column\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker-column\index.js                | JavaScript |        122 |          0 |          1 |        123 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker-column\index.json              | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker-column\index.wxs               | XML        |         30 |          0 |          7 |         37 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker\index.js                       | JavaScript |        150 |         11 |          1 |        162 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker\index.json                     | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker\index.wxs                      | XML        |         35 |          0 |          8 |         43 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker\shared.d.ts                    | TypeScript |         21 |          0 |          1 |         22 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\picker\shared.js                      | JavaScript |         24 |          0 |          1 |         25 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\popup\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\popup\index.js                        | JavaScript |         91 |          0 |          1 |         92 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\popup\index.json                      | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\popup\index.wxs                       | XML        |         16 |          0 |          3 |         19 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\progress\index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\progress\index.js                     | JavaScript |         55 |          0 |          1 |         56 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\progress\index.json                   | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\progress\index.wxs                    | XML        |         31 |          0 |          6 |         37 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\radio-group\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\radio-group\index.js                  | JavaScript |         24 |          0 |          1 |         25 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\radio-group\index.json                | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\radio\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\radio\index.js                        | JavaScript |         68 |          0 |          1 |         69 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\radio\index.json                      | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\radio\index.wxs                       | XML        |         28 |          0 |          6 |         34 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\rate\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\rate\index.js                         | JavaScript |         93 |          0 |          1 |         94 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\rate\index.json                       | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\row\index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\row\index.js                          | JavaScript |         26 |          0 |          1 |         27 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\row\index.json                        | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\row\index.wxs                         | XML        |         15 |          0 |          4 |         19 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\search\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\search\index.js                       | JavaScript |         88 |          4 |          1 |         93 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\search\index.json                     | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\index.js                  | JavaScript |         54 |          3 |          1 |         58 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\index.json                | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\index.wxs                 | XML        |         10 |          0 |          3 |         13 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\options.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\options.js                | JavaScript |         27 |          0 |          1 |         28 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\options.json              | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\share-sheet\options.wxs               | XML        |         11 |          0 |          4 |         15 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sidebar-item\index.d.ts               | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sidebar-item\index.js                 | JavaScript |         32 |          0 |          1 |         33 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sidebar-item\index.json               | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sidebar\index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sidebar\index.js                      | JavaScript |         36 |          0 |          1 |         37 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sidebar\index.json                    | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\skeleton\index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\skeleton\index.js                     | JavaScript |         48 |          0 |          1 |         49 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\skeleton\index.json                   | JSON       |          4 |          0 |          1 |          5 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\slider\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\slider\index.js                       | JavaScript |        187 |          2 |          1 |        190 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\slider\index.json                     | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\slider\index.wxs                      | XML        |         12 |          0 |          3 |         15 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\stepper\index.d.ts                    | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\stepper\index.js                      | JavaScript |        193 |          7 |          1 |        201 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\stepper\index.json                    | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\stepper\index.wxs                     | XML        |         19 |          0 |          4 |         23 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\steps\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\steps\index.js                        | JavaScript |         35 |          0 |          1 |         36 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\steps\index.json                      | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sticky\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sticky\index.js                       | JavaScript |        124 |          0 |          1 |        125 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sticky\index.json                     | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\sticky\index.wxs                      | XML        |         22 |          0 |          4 |         26 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\submit-bar\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\submit-bar\index.js                   | JavaScript |         58 |          0 |          1 |         59 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\submit-bar\index.json                 | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\swipe-cell\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\swipe-cell\index.js                   | JavaScript |        135 |          0 |          1 |        136 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\swipe-cell\index.json                 | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\switch\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\switch\index.js                       | JavaScript |         38 |          0 |          1 |         39 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\switch\index.json                     | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\switch\index.wxs                      | XML        |         21 |          0 |          6 |         27 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tab\index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tab\index.js                          | JavaScript |         58 |          0 |          1 |         59 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tab\index.json                        | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabbar-item\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabbar-item\index.js                  | JavaScript |         58 |          0 |          1 |         59 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabbar-item\index.json                | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabbar\index.d.ts                     | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabbar\index.js                       | JavaScript |         68 |          0 |          1 |         69 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabbar\index.json                     | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabs\index.d.ts                       | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabs\index.js                         | JavaScript |        279 |          3 |          1 |        283 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabs\index.json                       | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tabs\index.wxs                        | XML        |         69 |          0 |         14 |         83 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tag\index.d.ts                        | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tag\index.js                          | JavaScript |         23 |          0 |          1 |         24 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tag\index.json                        | JSON       |          6 |          0 |          1 |          7 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tag\index.wxs                         | XML        |         11 |          0 |          3 |         14 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\toast\index.d.ts                      | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\toast\index.js                        | JavaScript |         30 |          1 |          1 |         32 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\toast\index.json                      | JSON       |          9 |          0 |          1 |         10 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\toast\toast.d.ts                      | TypeScript |         25 |          1 |          1 |         27 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\toast\toast.js                        | JavaScript |         81 |          0 |          1 |         82 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\transition\index.d.ts                 | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\transition\index.js                   | JavaScript |         15 |          0 |          1 |         16 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\transition\index.json                 | JSON       |          3 |          0 |          1 |          4 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\transition\index.wxs                  | XML        |         15 |          0 |          3 |         18 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tree-select\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tree-select\index.js                  | JavaScript |         65 |          5 |          1 |         71 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tree-select\index.json                | JSON       |          8 |          0 |          1 |          9 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\tree-select\index.wxs                 | XML        |          9 |          0 |          4 |         13 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\index.d.ts                   | TypeScript |          1 |          0 |          1 |          2 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\index.js                     | JavaScript |        170 |          0 |          1 |        171 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\index.json                   | JSON       |          7 |          0 |          1 |          8 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\index.wxs                    | XML        |         15 |          0 |          3 |         18 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\shared.d.ts                  | TypeScript |         28 |          0 |          1 |         29 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\shared.js                    | JavaScript |         31 |          2 |          1 |         34 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\utils.d.ts                   | TypeScript |         22 |          0 |          1 |         23 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\uploader\utils.js                     | JavaScript |        102 |          0 |          1 |        103 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\wxs\add-unit.wxs                      | XML        |          9 |          0 |          4 |         13 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\wxs\array.wxs                         | XML        |          4 |          0 |          2 |          6 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\wxs\bem.wxs                           | XML        |         34 |          0 |          6 |         40 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\wxs\memoize.wxs                       | XML        |         46 |          0 |         10 |         56 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\wxs\object.wxs                        | XML        |         11 |          0 |          3 |         14 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\wxs\style.wxs                         | XML        |         36 |          0 |          7 |         43 |
| d:\0_Projects\Link\miniprogram_npm\@vant\weapp\wxs\utils.wxs                         | XML        |          9 |          0 |          2 |         11 |
| d:\0_Projects\Link\package-lock.json                                                 | JSON       |         24 |          0 |          1 |         25 |
| d:\0_Projects\Link\package.json                                                      | JSON       |          5 |          0 |          1 |          6 |
| d:\0_Projects\Link\pages\home\home.js                                                | JavaScript |        181 |          7 |          7 |        195 |
| d:\0_Projects\Link\pages\home\home.json                                              | JSON       |          6 |          0 |          0 |          6 |
| d:\0_Projects\Link\pages\index\index.js                                              | JavaScript |        136 |         13 |          9 |        158 |
| d:\0_Projects\Link\pages\index\index.json                                            | JSON       |          7 |          0 |          0 |          7 |
| d:\0_Projects\Link\pages\login\login.js                                              | JavaScript |        104 |         43 |         23 |        170 |
| d:\0_Projects\Link\pages\login\login.json                                            | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\member\autorenew.js                                         | JavaScript |         18 |          3 |          3 |         24 |
| d:\0_Projects\Link\pages\member\autorenew.json                                       | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\member\exchange.js                                          | JavaScript |         55 |          5 |         13 |         73 |
| d:\0_Projects\Link\pages\member\exchange.json                                        | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\member\openMember.js                                        | JavaScript |        174 |         17 |         14 |        205 |
| d:\0_Projects\Link\pages\member\openMember.json                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\order\coupon.js                                             | JavaScript |         81 |          8 |          6 |         95 |
| d:\0_Projects\Link\pages\order\coupon.json                                           | JSON       |          4 |          0 |          0 |          4 |
| d:\0_Projects\Link\pages\order\order.js                                              | JavaScript |        117 |         14 |          1 |        132 |
| d:\0_Projects\Link\pages\order\order.json                                            | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\order\orderDetail.js                                        | JavaScript |         81 |         17 |          8 |        106 |
| d:\0_Projects\Link\pages\order\orderDetail.json                                      | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\sport\body.js                                               | JavaScript |        222 |         34 |         22 |        278 |
| d:\0_Projects\Link\pages\sport\body.json                                             | JSON       |          4 |          0 |          0 |          4 |
| d:\0_Projects\Link\pages\sport\plan.js                                               | JavaScript |        119 |         11 |         13 |        143 |
| d:\0_Projects\Link\pages\sport\plan.json                                             | JSON       |          2 |          0 |          1 |          3 |
| d:\0_Projects\Link\pages\sport\sport.js                                              | JavaScript |        231 |          9 |         22 |        262 |
| d:\0_Projects\Link\pages\sport\sport.json                                            | JSON       |          4 |          0 |          1 |          5 |
| d:\0_Projects\Link\pages\sport\vitality.js                                           | JavaScript |         75 |          9 |          6 |         90 |
| d:\0_Projects\Link\pages\sport\vitality.json                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\store\store.js                                              | JavaScript |         21 |          1 |          4 |         26 |
| d:\0_Projects\Link\pages\store\store.json                                            | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\user\agreement.js                                           | JavaScript |        141 |         78 |          3 |        222 |
| d:\0_Projects\Link\pages\user\agreement.json                                         | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\user\opinion.js                                             | JavaScript |         35 |          1 |          3 |         39 |
| d:\0_Projects\Link\pages\user\opinion.json                                           | JSON       |          4 |          0 |          0 |          4 |
| d:\0_Projects\Link\pages\user\profile.js                                             | JavaScript |        108 |          7 |          9 |        124 |
| d:\0_Projects\Link\pages\user\profile.json                                           | JSON       |          3 |          0 |          0 |          3 |
| d:\0_Projects\Link\pages\user\user.js                                                | JavaScript |        117 |          7 |          7 |        131 |
| d:\0_Projects\Link\pages\user\user.json                                              | JSON       |          5 |          0 |          0 |          5 |
| d:\0_Projects\Link\pages\user\userinfo.js                                            | JavaScript |         44 |          1 |          9 |         54 |
| d:\0_Projects\Link\pages\user\userinfo.json                                          | JSON       |          4 |          0 |          0 |          4 |
| d:\0_Projects\Link\project.config.json                                               | JSON       |         65 |          0 |          0 |         65 |
| d:\0_Projects\Link\project.private.config.json                                       | JSON       |          8 |          0 |          0 |          8 |
| d:\0_Projects\Link\sitemap.json                                                      | JSON       |         10 |          0 |          0 |         10 |
| d:\0_Projects\Link\utils\format.wxs                                                  | XML        |         41 |          0 |          3 |         44 |
